learner_id,encounter_idx,kc,tier,difficulty,quiz_outcome,combat_outcome,success_prob_true,model_mastery,true_skill,frustration,boredom,retries,latency_ms,event
1,10,antigen_recognition,Easy,0.2,False,True,0.5688877812125614,0.27112850874732014,0.32497792043583584,0.0,0.0,0,3632,
1,11,humoral_immunity,Hard,0.8,False,False,0.05,0.1545168847494429,0.2162683469857079,0.0,0.0,3,956,
1,12,humoral_immunity,Easy,0.2,True,False,0.5243831638724789,0.22923474433387236,0.23651481576077416,0.15,0.0,1,3764,
1,13,humoral_immunity,Medium,0.5,,False,0.1706664859751107,0.18046734358882613,0.25275764314185106,0.3,0.0,1,3908,
1,14,humoral_immunity,Hard,0.8,False,False,0.05,0.15291460417223043,0.25275764314185106,0.44999999999999996,0.0,1,4894,
1,15,humoral_immunity,Easy,0.2,,True,0.5784822216048223,0.5309913602818799,0.2709259494670769,0.6,0.0,0,1879,
1,16,antigen_recognition,Easy,0.2,True,False,0.6791498323312444,0.2970797276563781,0.3602427604777466,0.0,0.0,2,3663,
1,17,antigen_recognition,Medium,0.5,False,False,0.3018416416233992,0.15557631604725938,0.3936652771633836,0.0,0.0,2,4507,
1,18,antigen_recognition,Hard,0.8,,False,0.08031991065493135,0.16913478849455715,0.42059025193238825,0.15,0.0,3,5322,
1,19,antigen_recognition,Easy,0.2,False,True,0.7897703183256074,0.23732965709755244,0.4629679900599013,0.3,0.0,0,3251,
1,20,antigen_recognition,Easy,0.2,True,True,0.8288938448098705,0.883584694739906,0.5134685993025977,0.09999999999999998,0.0,0,4148,
1,21,humoral_immunity,Easy,0.2,True,True,0.6048119120198236,0.9644740568768247,0.29751579791908955,0.39999999999999997,0.0,0,3666,
1,22,innate_immunity,Hard,0.8,False,False,0.14564859949629025,0.16724813100747596,0.5293281071057891,0.0,0.0,1,6296,
1,23,innate_immunity,Easy,0.2,True,True,0.878250760617537,0.8322467971297558,0.5753354486085703,0.0,0.0,0,3327,
1,24,cell_mediated_immunity,Hard,0.8,,False,0.05,0.3430278884462152,0.30025778940680514,0.0,0.0,3,5382,
